Col,positive,does not work r getfoldername  does not work r getmessage  getuid
Col,positive,todo key ca not be null
Col,positive,bug fdietz cc should be in cc instead of to tolist addall arrays aslist rfcheader getcc
Col,positive,todo check if we have to manually set the folder uid in message controller to make this work
Col,positive,bug fdietz cc should be in cc instead of to
Col,positive,fixme this is not correct
Col,positive,fixme correct year calculation
Col,positive,fixme check if the id is a correct file name
Col,positive,todo newuid generate correctly formatted date string
Col,positive,todo fix doctype
Col,positive,todo key ca not be null
Col,positive,todo fix parser exception
Col,positive,fixme author fdietz no locking of folders currently implemented author frd
Col,positive,todo author fdietz should be removed if we only use streams
Col,positive,fixme author karlpeder is   the proper version of html to refer to ?
Col,positive,this is a hack for the multiline column
Col,positive,todo author tstich do something
Col,positive,todo author fdietz i n
Col,positive,fixme remove method toolbarpane add c
Col,positive,todo author fdietz i n
Col,positive,todo author fdietz i n
Col,positive,todo author hubms copied from frederiks search builder
Col,positive,real stupid recreation of whole list model replace with id based listmodel update
Col,positive,todo author karlpeder extend handling of special entities as in restorespecialcharacters
Col,positive,transforms email addresses into html just as substituteemailaddress string  but tries to ignore email addresses which are already links if the ignore links flag is set br this extended functionality is necessary when parsing a text which is already partly html br fixme can this be done smarter i e directly with reg expr without manual parsing ? ? param s input text param ignorelinks if true link tags are ignored this gives a wrong result if some e mail adresses are already links but uses reg expr directly and is therefore faster return text with email adresses transformed to links
Col,positive,todo return content encoding according to the mime part in the mail
Col,positive,todo return content type according to the mime part in the mail
Col,positive,hack to support dockable view title update todo replace with listener pattern
Col,positive,todo stop polling thread ?
Col,positive,todo author hubms bad if there is a icon it is tagged or not
Col,positive,todo categoryenumeration
Col,positive,hack if start and end time is at   it is an all day event
Col,positive,register interest on store changes todo the dependency should be the other way around
Col,positive,todo fix layout to look good even if there is not enough information provided
Col,positive,todo author fdietz i n
Col,positive,fixme ugly cast to contactmodel
Col,positive,todo dont use deprecated method
Col,positive,todo must get polling interval from config file
Col,positive,todo reactivate when feature is supported
Col,positive,if this folder has children add them todo in the future we should try to fetch additional children on demand when the tree of the dialog is opened
Col,positive,todo author fdietz add more special entities e g accenture chars such as ?
Col,positive,todo author waffel encrypt and sign dosn t work the message is always only encrypted we need a function that knows here is an encrypted and signed message thus first encyrpt and then verifysign the message if this message is signed encrypted we have to use gnupg to extract the decrypted bodypart multipart encrypted multipart signed
Col,positive,transforms urls into html just as substituteurl string  but tries to ignore urls which are already links if the ignore links flag is set br this extended functionality is necessary when parsing a text which is already partly html br fixme can this be done smarter i e directly with reg expr without manual parsing ? ? param s input text param ignorelinks if true link tags are ignored this gives a wrong result if some urls are already links but uses reg expr directly and is therefore faster return text with urls
Col,positive,todo author fdietz ensure that we do not fetch individual headers to reduce client server roundtrips
Col,positive,? ? ? bad to have release hardocoded here fix later right
Col,positive,todo author fdietz i n
Col,positive,todo author fdietz i n
Col,positive,hack if start and end time is at   it is an all day event
Col,positive,todo open stream from the mime part specified by contentid of the currently viewed mail
Col,positive,something is very wrong here
Col,positive,its maybe better to leave this option out of the dialog make it configurable in the xml file anyway
Col,positive,todo author fdietz i n
Col,positive,todo make this hack more i n compatible
Col,positive,todo author fdietz i n
Col,positive,todo move resources to a resource file
Col,positive,todo use undoableeditevent to make this really work
Col,positive,todo should we take some action to ensure signature is valid html ?
Col,positive,xxx should this be fired by a different thread ?
Col,positive,todo add a configuration of the cache size
Col,positive,command executes the search p in case new result results arrive it ensures that all interested listeners are notified from inside the edt p fixme fdietz no locking of folders currently implemented todo fdietz create new command for every provider to introduce real parallel search author fdietz
Col,positive,xxx this is not thread safe though luck it is not supposed to be
Col,positive,todo author fdietz move this to abstractmessagefolder constructor
Col,positive,todo should this be renamed to cloc or something more appropriate than clock ?
Col,positive,todo author karlpeder guess that right thing to do is to get height as getdrawingsize  getheight  since this should take top and bottom margin of this print object into account but the height seems not to be set correctly in computepositionandsize   karlpeder
Col,positive,we ca not use systemclassloader here because that would not work with java webstart resourcebundle uses its own internal classloader if no classloader is given set classloader null
Col,positive,note we intentionally do not remember internal plugins because we do not want them to appear in the plugin manager currently todo improve plugin manager dialog to support internal plugins which ca not be removed etc
Col,positive,fixme calendar ?
Col,positive,todo author hubms have this flags until the speed of the entitymanager is improved
Col,positive,cleanup remove port number file
Col,positive,todo there is probably a better way to do this hack
Col,positive,todo before inserting find out if there is already a menu item with the same action command if so replace it otherwise insert new
Col,positive,todo author fdietz add import feature
Col,positive,todo author fdietz i n
Col,positive,todo author hubms implement custom menuitem renderer
Col,positive,todo author fdietz no paging used currently show only first  results
Col,positive,todo author fdietz i n
Col,positive,real stupid recreation of whole menu model
Col,positive,todo author fdietz no paging used currently show only first  results
Col,positive,todo throw illegalargumentexception in case a variable null
Col,positive,todo author fdietz associate help with button and root pane
Col,positive,fixme this will most likely not work you want the element removed if the contents are the same not just if the element reference is the same
Col,positive,author fdietz using shutdown manager is wrong here because this automatically also calls the framemanager which also starts a second shutdown thread this leads into two parallel shutdown thread which is why sometimes config files etc get messed up
Col,positive,author fdietz hackish way of creating a search toolbar jtoolbar searchtoolbar new extendabletoolbar
Col,positive,a command uses the information provided from link defaultcommandreference to execute itself p todo remove iframemediator dependency author timo stich tstich users sourceforge net
Col,positive,manually rewrite the connection url because if there is no rewrite the database files are created in the starting directory we do not want that
Col,positive,todo fix updateactions enableactions getcurrentowner
