Arg,positive,todo this brute force approach of updating listeners on each and every event  without checking the event type or any other information is going to cause lots of invalidelementexceptions in subclasses implementations of updatelisteners  and they wo not have the event information to make their own decisions
Arg,positive,todo the above statement also refreshes when we are not shown  to be verified  hence not entirely correct
Arg,positive,class to display graphics for a uml synchstate in a diagram p todo if the font increases  the circle should grow  too author pepargouml yahoo es
Arg,positive,todo if this is an ordered list  then you have to add in the right location
Arg,positive,rank the nodes depending on their level  position in hierarchy  and set their weight to achieve a proper node sequence for the layout rows exceeding the maximum row width are split  if standalone nodes are available p weight the other nodes to determine their columns p todo weighting does not appear to be working as intended because multiple groups of children specializations get intermixed in name order rather than being grouped by their parent generalization tfm 
Arg,positive,todo this is a tagged value name which will never trigger an event
Arg,positive,tests copyhelper without using stereotypes p the test is using the tree of objects pre model p p class nestedpackage interface attribute pre todo this test does not match the mdr implementation because it expects the contents of a namespace to be copied it is disabled until it can be fixed to run with both mdr and euml tfm  author bogdan
Arg,positive,todo correctly implement next function in the model subsystem for issue 
Arg,positive,todo the code implementing this method is from see issue mechanically integrated by tfmorris in may  needs to be reviewed updated author decki  endi  yayan  politechnic of bandung computer departement method for changing text of message
Arg,positive,todo why does the next part not work ?
Arg,positive,todo we do not really want this to be filled  but if it is not then the user ca not double click in the compartment to add a new literal apparently gef thinks unfilled figs are only selectable by border setfilled  false
Arg,positive,todo we ca not have a global current language notationproviderfactory setcurrentlanguage  newlanguage
Arg,positive,todo we should warn the user we have removed something tfm
Arg,positive,if we are not visible most likely we 're being deleted todo this indicates a more fundamental problem that should be investigated tfm 
Arg,positive,fixme the following throws org argouml model invalidelementexception javax jmi reflect invalidobjectexception object with mofid e no longer exists applicabletagdefs tagdefcbmodel getapplicabletagdefinitions  aclass  assertnotnull  tag definition was not found in return value of tagdefcbmodel getapplicabletagdefinitions  aclass after loading the project  teststereotypeutility findmodelelementnamed  profilemother tag definition name td  applicabletagdefs
Arg,positive,todo in gef needs to pass us back the description of what is being done
Arg,positive,make it stretch vertically todo the curbody must notify modification
Arg,positive,todo is this next line safe ? what happens if there is just one comment edge or a comment edge and a single message ?
Arg,positive,todo considering all delete events to be valid like below is going to cause lots of unecessary work and some problems
Arg,positive,else if the y coordinate is outside of the classifier role  we fix the y in the max y of the classifier role fixme we should increase the height of the classifier role  do not ? ? ?
Arg,positive,todo this appears to expect that the uml tag name will appear as a property name in an event  but with the uml switch to tagdefinitions  this wo not work
Arg,positive,todo not in uml 
Arg,positive,todo removed from uml non nls 
Arg,positive,todo only occurrence of isconcurrent in uml  is in index it is not on the page that is indexed
Arg,positive,todo this works for  degree angles  but is suboptimal for other angles it should reflect the angle  rather than just using a negative offset along the same vector
Arg,positive,todo map uml names to uml x names non nls  non nls 
Arg,positive,todo except this wo not work because the names are different which will cause a test in checkumlmodelhelper to fail remap put  core permission  core packageimport
Arg,positive,this does not work in uml both owner and property needed
